Comment,Designator,Quantity,Footprint,Value

"GRM31CR71H225KA88L","C1, C2, C4, C5","4","1206","2.2u"
"GRM155R71H103KA88","C3, C6, C7, C8, C9, C10","6","0402","10n"
"HFBR-1412TZ-TX","FO1","1","HFBR-x41xTZ",""
"HFBR-24x2TZ-RX","FO2","1","HFBR-x41xTZ",""
"MPT 0,5/ 4-2,54","J1, J2","2","MPT 0,5/ 5-2,54",""
"CRCW0805115RFKEAHP","R1","1","0805","115"
"CRCW04021K00FKED","R2, R3","2","0402","1k"
"MAX3293AUT","U1","1","SOT23-6",""
"LM340MPX-5.0/NOPB","U2","1","LM340MPX-5.0/NOPB",""
"SN75462DR","U3","1","SOP-8",""
"MAX3280E","U4","1","SOT23-5",""
"LP2985-33DBVR","U5","1","TI-DBV5_V",""
